0.wav| əŋəs̪, məəd̪ʰən̪s̪, kəs̪ɪs̪, koːs̪ələn̪s̪, ʋəd̪ʒd̪ʒɪən̪s̪, məllən̪s̪, t̪ʃeːt̪ɪs̪, ʋəŋs̪ɑːs̪,
1.wav| kuɾus̪, pəɲt̪ʃɑːləs̪, mət̪ʃt̪ʃʰəs̪, s̪uɾəs̪eːn̪əs̪, əs̪s̪əkəs̪, əʋən̪t̪ɪs̪, ən̪d̪ʰɑːɾən̪s̪, ˈand kəmboːd̪ʒən̪s̪.
2.wav| puːɾəɳə kəs̪s̪əpə, məkkʰəlɪ oːs̪ɑːlə, əd̪ʒɪt̪ə keːs̪əkəmbəlɪn̪, pəkud̪ʰə kət̪ʃt̪ʃɑːjən̪ə, s̪əɲd̪ʒəjə ʋeːləʈʈʰəput̪t̪ə, ˈand n̪ɪəɳʈʰə n̪ɑːʈəput̪t̪ə ˈɑː wˈɛl-ɹɪɡˈɑːdɪd.
3.wav| ðˈə sˈeɪdʒɪz ˈɒv ðˈə pˈast—əʈʈʰəkə, ʋɑːməkə, ʋɑːməd̪eːʋə, ʋeːs̪s̪ɑːmɪt̪t̪ə, jəməd̪əɪ, əɳiːɾəs̪ə, bʰɑːɾəd̪ʋɑːd̪ʒə, ʋɑːs̪eːʈʈʰə, kəs̪s̪əpə, ˈand bʰəu—
4.wav| ˈaɪ hˈav hˈɜːd ðˈat ˈɒn wˈɒn əkˈeɪʒən ðˈə blˈɛsɛd wˈɒn wˈɒz stˈeɪɪŋ nˈiə s̪ɑːʋət̪t̪ʰiː ˈɪn d̪ʒeːt̪ə's̪ ɡɹˈəʊv, ən̪ɑːt̪ʰəpɪɳɖɪkə's̪ mˈɒnastəɹi.
5.wav| nˈaʊ ˈɒn ðˈat əkˈeɪʒən pukkus̪ə məlləput̪t̪ə, ˈeɪ dɪsˈaɪpəl ˈɒv ɑːɭɑːɾə kɑːlɑːmə wˈɒz tɹˈavəlɪŋ ˈɒn ðˈə ɹˈəʊd fɹˈɒm kus̪ɪn̪ɑːɾɑː tˈuː pɑːʋɑː.
6.wav| ðˈɛn d̪iːʰə t̪əpəs̪s̪ɪn̪ ðˈə n̪ɪəɳʈʰə, ˈaftə ɡˈəʊɪŋ fˈɔː ˈɑːmz ˈɪn n̪ɑːlən̪d̪ɑː ˈand ɹɪtˈɜːnɪŋ fɹˈɒm hˈɪz ˈɑːmsɹaʊnd, ˈaftə hˈɪz mˈiːl wˈɛnt tˈuː pɑːʋəɾɪkə's̪ mˈaŋɡəʊ ɡɹˈəʊv.
7.wav| ðˈeə ˈɑː ˈʌðə ɡɹˈeɪt sˈɪtiz: t̪ʃəmpɑː, ɾɑːd̪ʒəəɦə, s̪ɑːʋət̪t̪ʰiː, s̪ɑːkeːt̪ə, koːs̪əmbiː, bɑːɾɑːɳəs̪iː. mˈeɪ ðˈə blˈɛsɛd wˈɒn tˈəʊtəli ʌnbˈaɪnd ðˈeə.
8.wav| ðˈə ɡɹˈeɪt ˈəʊʃən ˈɪz ðˈə ɐbˈəʊd ˈɒv sˈʌtʃ mˈaɪti bˈiːɪŋz ˈaz ðˈiːz: wˈeɪlz, wˈeɪl-ˈiːtəz, ˈand wˈeɪl-ˈiːtə-ˈiːtəz; əs̪uɾəs̪, n̪ɑːəs̪, ˈand ən̪d̪ʰəbbəs̪.
9.wav| ðˈɪs wˈɜːld wˈɪð ˈɪts d̪eːʋəs̪, mɑːɾəs̪, ˈand bɾəɦmɑːs̪, ðˈɪs dʒˌɛnəɹˈeɪʃən wˈɪð ˈɪts kəntˈəmplətˌɪvz ˈand bɹˈɑːmənz, ˈɪts ɹˈuːləz ˈand kˈɒmənfˌəʊk;
10.wav| 'ɑːn̪ən̪d̪ə, ˈɪf məɦɑːpəd̪ʒɑːpət̪ɪ oːt̪əmiː ɐksˈɛpts ˈeɪt ɹˈuːlz ˈɒv ɹɪspˈɛkt [əɾu-d̪ʰəmmə], ðˈat wˈɪl bˈiː hˈɜː ɐksˈɛptəns [ˈaz ˈeɪ nˈʌn].
11.wav| ðˈə kɑːlɑːməs̪ ˈɒv keːs̪əput̪t̪ə hˈɜːd ˈɪt sˈɛd, 'oːt̪əmə ðˈə kəntˈəmplətˌɪv—ðˈə sˈʌn ˈɒv ðˈə s̪əkjən̪s̪, hˈavɪŋ ɡˈɒn fˈɔːθ fɹˈɒm ðˈə s̪əkjən̪ klˈan—
12.wav| t̪ʃəŋkiː ðˈə bɹˈɑːmən, t̪ɑːɾukkʰə ðˈə bɹˈɑːmən, poːkkʰəɾəs̪ɑːt̪ɪ ðˈə bɹˈɑːmən, d̪ʒɑːn̪us̪oːɳɪn̪ ðˈə bɹˈɑːmən, t̪oːd̪eːjjə ðˈə bɹˈɑːmən wˈɜː dwˈɛlɪŋ ˈɪn ɪt̪ʃt̪ʃʰɑːn̪əŋələ.
13.wav| ðˈɛn kˈɪŋ əd̪ʒɑːt̪əs̪ət̪t̪u ˈɒv məəd̪ʰə, ðˈə sˈʌn ˈɒv kwˈiːn ʋɪd̪eːɦə, ɹˈeɪzɪŋ ˈeɪ fˈɔːfəʊld ˈɑːmi, mˈɑːtʃt təwˈɔːd kɑːs̪ɪ ɐɡˈɛnst kˈɪŋ pəs̪eːn̪əd̪ɪ koːs̪ələ.
