0.wav|Aṅgas, Magadhans, Kasis, Kosalans, Vajjians, Mallans, Cetis, Vaṁsās,
1.wav|Kurus, Pañcālas, Macchas, Surasenas, Assakas, Avantis, Gandhārans, & Kambojans.
2.wav|Pūraṇa Kassapa, Makkhali Gosāla, Ajita Kesakambalin, Pakudha Kaccāyana, Sañjaya Velaṭṭhaputta, & Nigaṇṭha Nāṭaputta are well-regarded.
3.wav|the sages of the past—Aṭṭhaka, Vāmaka, Vāmadeva, Vessāmitta, Yamadaggi, Aṇgīrasa, Bhāradvāja, Vāseṭṭha, Kassapa, & Bhagu—
4.wav|I have heard that on one occasion the Blessed One was staying near Sāvatthī in Jeta's Grove, Anāthapiṇḍika's monastery.
5.wav|Now on that occasion Pukkusa Mallaputta, a disciple of Āḷāra Kālāma was traveling on the road from Kusinārā to Pāvā.
6.wav|Then Dīgha Tapassin the Nigaṇṭha, after going for alms in Nālandā and returning from his almsround, after his meal went to Pāvarika's mango grove.
7.wav|There are other great cities: Campā, Rājagaha, Sāvatthī, Sāketa, Kosambī, Bārāṇasī. May the Blessed One totally unbind there.
8.wav|the great ocean is the abode of such mighty beings as these: whales, whale-eaters, & whale-eater-eaters; asuras, nāgas, & gandhabbas.
9.wav|this world with its devas, Māras, & Brahmās, this generation with its contemplatives & brahmans, its rulers & commonfolk;
10.wav|'Ānanda, if Mahāpajāpati Gotamī accepts eight rules of respect [garu-dhamma], that will be her Acceptance [as a nun].
11.wav|The Kālāmas of Kesaputta heard it said, 'Gotama the contemplative—the son of the Sakyans, having gone forth from the Sakyan clan—
12.wav|Caṅkī the brahman, Tārukkha the brahman, Pokkharasāti the brahman, Jānusoṇin the brahman, Todeyya the brahman were dwelling in Icchānaṅgala.
13.wav|Then King Ajātasattu of Magadha, the son of Queen Videha, raising a fourfold army, marched toward Kāsi against King Pasenadi Kosala.
14.wav|Upaka the Ājīvaka saw me on the road between Gayā and the (place of) Awakening, and on seeing me said to me, 'Clear, my friend, are your faculties.
15.wav|Venerable Anuruddha, Venerable Nandiya, & Venerable Kimbila were staying in the Gosiṅga [Cattle-horn] Sāla-tree Forest Park.
16.wav|Where is Mahā Moggallāna? Where is Mahā Kassapa? Where is Mahā Kaccāna? Where is Mahā Koṭṭhita? Where is Mahā Cunda? Where is Mahā Kappina?
17.wav|Veḷukaṇṭakin Nandamātar, has established a donation endowed with six factors for the Saṅgha of monks headed by Sāriputta & Moggallāna.
18.wav|And what is the uposatha of the Jains? There are the contemplatives called the Nigaṇṭhas [Jains].
19.wav|Even I myself, before my self-awakening, when I was still an unawakened bodhisatta, thought: 'Renunciation is good. Seclusion is good.'
20.wav|This Uddaka Rāmaputta is wise, competent, intelligent. He has long had little dust in his eyes. What if I were to teach him the Dhamma first?
21.wav|Now, on that occasion, Sunīdha & Vassakāra, the chief ministers of Magadha, were building a city at Pāṭali Village to preempt the Vajjians.
22.wav|Now, on that occasion the Nigaṇṭha Nāṭaputta was sitting with a large lay following from Bālaka headed by Upāli.
23.wav|Then Venerable Dāsaka went to the elder monks and, on arrival, said to them, 'The monk Khemaka has said to me, 'I am not getting better, my friend.
24.wav|There are, for example, Nanda Vaccha, Kisa Saṅkicca, and Makkhali Gosāla. They are cloth-less ascetics, rejecting conventions, licking their hands,
25.wav|'So Kālī the slave got up after daybreak. Then Lady Vedehikā said to her: 'Hey, Kālī!' 'What, madam?' 'Why did you get up after daybreak?'
26.wav|Subrahmā and Paramatta Brahmā, together with sons of the Powerful One, Sanaṅkumāra and Tissa: They too have come to the forest meeting.
27.wav|Brahmā, you don't know the body named Subhakiṇhā [Beautiful Black]… the body named Vehapphalā [Sky-fruit], {the body named Abhibhū [Conqueror]},
28.wav|'Your majesty, Queen Mallikā has died.' When this was said, King Pasenadi Kosala sat there miserable, sick at heart, his shoulders drooping,
29.wav|He attains—whenever he wants, without strain, without difficulty—the four jhānas that are heightened mental states, pleasant abidings in the here & now.
30.wav|Ānanda, this is the Tathāgata's last look at Vesālī. Come, Ānanda, we will head for Bhaṇḍa Village.
